ADC,Suporte,Lane,Taxa_Vitoria,Partidas_Jogadas
Anivia,Janna,BOTTOM,1.0,1
Smolder,Rakan,BOTTOM,1.0,2
Nilah,Blitzcrank,BOTTOM,1.0,1
Samira,Senna,BOTTOM,1.0,1
Samira,Soraka,BOTTOM,1.0,1
Seraphine,Rell,BOTTOM,1.0,1
Seraphine,Senna,BOTTOM,1.0,1
Seraphine,Sion,BOTTOM,1.0,1
Seraphine,Zoe,BOTTOM,1.0,1
Singed,Rell,BOTTOM,1.0,1
Sivir,Braum,BOTTOM,1.0,1
Sivir,Karma,BOTTOM,1.0,1
Sivir,Leona,BOTTOM,1.0,1
Sivir,Lulu,BOTTOM,1.0,1
Sivir,Milio,BOTTOM,1.0,1
Smolder,Braum,BOTTOM,1.0,1
Smolder,Karma,BOTTOM,1.0,2
MissFortune,Rakan,BOTTOM,1.0,1
MissFortune,Poppy,BOTTOM,1.0,1
MissFortune,Nautilus,BOTTOM,1.0,1
Lucian,Milio,BOTTOM,1.0,3
KogMaw,Nami,BOTTOM,1.0,2
KogMaw,Rakan,BOTTOM,1.0,1
KogMaw,Soraka,BOTTOM,1.0,1
KogMaw,Yuumi,BOTTOM,1.0,1
Lucian,Janna,BOTTOM,1.0,1
Lucian,Lulu,BOTTOM,1.0,2
Lucian,Nautilus,BOTTOM,1.0,1
MissFortune,Lulu,BOTTOM,1.0,2
Lucian,Thresh,BOTTOM,1.0,2
Lux,Lulu,BOTTOM,1.0,1
Lux,Rakan,BOTTOM,1.0,2
Lux,Seraphine,BOTTOM,1.0,1
MissFortune,Braum,BOTTOM,1.0,1
MissFortune,Karma,BOTTOM,1.0,1
Smolder,Leona,BOTTOM,1.0,1
Smolder,Seraphine,BOTTOM,1.0,1
Kalista,Renata,BOTTOM,1.0,1
Smolder,Xerath,BOTTOM,1.0,1
Vayne,Karma,BOTTOM,1.0,1
Vayne,Lulu,BOTTOM,1.0,1
Vayne,Pyke,BOTTOM,1.0,1
Vayne,Thresh,BOTTOM,1.0,1
Xayah,Bard,BOTTOM,1.0,1
Xayah,Braum,BOTTOM,1.0,1
Xayah,Nautilus,BOTTOM,1.0,2
Xayah,Rakan,BOTTOM,1.0,1
Xayah,Thresh,BOTTOM,1.0,3
Zeri,Karma,BOTTOM,1.0,1
Zeri,Neeko,BOTTOM,1.0,1
Zeri,Pyke,BOTTOM,1.0,1
Zeri,Renata,BOTTOM,1.0,1
Zeri,Taric,BOTTOM,1.0,1
Zeri,Thresh,BOTTOM,1.0,1
Vayne,Camille,BOTTOM,1.0,1
Vayne,Anivia,BOTTOM,1.0,1
Varus,Thresh,BOTTOM,1.0,2
Twitch,Pyke,BOTTOM,1.0,1
Smolder,Zilean,BOTTOM,1.0,1
Smolder,Zyra,BOTTOM,1.0,1
Tristana,Milio,BOTTOM,1.0,1
Tristana,Senna,BOTTOM,1.0,1
Tristana,Soraka,BOTTOM,1.0,1
Tristana,Velkoz,BOTTOM,1.0,1
Varus,Ashe,BOTTOM,1.0,1
Varus,Seraphine,BOTTOM,1.0,1
Varus,Brand,BOTTOM,1.0,1
Varus,Janna,BOTTOM,1.0,1
Varus,Leona,BOTTOM,1.0,1
Varus,Nautilus,BOTTOM,1.0,1
Varus,Pantheon,BOTTOM,1.0,1
Varus,Rakan,BOTTOM,1.0,1
Anivia,Karma,BOTTOM,1.0,1
KogMaw,Alistar,BOTTOM,1.0,1
Kalista,Rakan,BOTTOM,1.0,1
Caitlyn,Velkoz,BOTTOM,1.0,1
Caitlyn,Zyra,BOTTOM,1.0,2
Cassiopeia,Soraka,BOTTOM,1.0,2
Corki,Braum,BOTTOM,1.0,1
Corki,Karma,BOTTOM,1.0,2
Corki,Nautilus,BOTTOM,1.0,1
Corki,Pyke,BOTTOM,1.0,1
Corki,Senna,BOTTOM,1.0,1
Corki,Soraka,BOTTOM,1.0,1
Corki,Thresh,BOTTOM,1.0,1
Draven,Alistar,BOTTOM,1.0,1
Draven,Karma,BOTTOM,1.0,1
Draven,Milio,BOTTOM,1.0,1
Draven,Nautilus,BOTTOM,1.0,1
Draven,Rell,BOTTOM,1.0,1
Draven,Swain,BOTTOM,1.0,1
Caitlyn,Xerath,BOTTOM,1.0,1
Caitlyn,Seraphine,BOTTOM,1.0,1
Ezreal,Nautilus,BOTTOM,1.0,2
Caitlyn,Poppy,BOTTOM,1.0,1
Aphelios,Alistar,BOTTOM,1.0,1
Aphelios,Janna,BOTTOM,1.0,1
Ashe,Braum,BOTTOM,1.0,2
Ashe,Ivern,BOTTOM,1.0,1
Ashe,Lux,BOTTOM,1.0,1
Ashe,Milio,BOTTOM,1.0,2
Ashe,Morgana,BOTTOM,1.0,2
Ashe,Rakan,BOTTOM,1.0,1
Ashe,Senna,BOTTOM,1.0,1
Ashe,Sona,BOTTOM,1.0,1
Ashe,Soraka,BOTTOM,1.0,1
Caitlyn,Blitzcrank,BOTTOM,1.0,1
Caitlyn,Camille,BOTTOM,1.0,1
Caitlyn,Janna,BOTTOM,1.0,1
Caitlyn,Karma,BOTTOM,1.0,1
Kalista,Nautilus,BOTTOM,1.0,1
Ezreal,Karma,BOTTOM,1.0,1
Ezreal,Senna,BOTTOM,1.0,1
Jinx,Bard,BOTTOM,1.0,1
Kalista,Lulu,BOTTOM,1.0,2
Kaisa,Xerath,BOTTOM,1.0,1
Kaisa,Shaco,BOTTOM,1.0,1
Kaisa,Rell,BOTTOM,1.0,3
Kaisa,Nami,BOTTOM,1.0,3
Kaisa,Milio,BOTTOM,1.0,1
Jinx,Zyra,BOTTOM,1.0,1
Jinx,Velkoz,BOTTOM,1.0,1
Jinx,Sona,BOTTOM,1.0,1
Ezreal,Zilean,BOTTOM,1.0,1
Jinx,Lulu,BOTTOM,1.0,3
Jinx,Braum,BOTTOM,1.0,1
Jinx,Pyke,BOTTOM,1.0,1
Jhin,Sona,BOTTOM,1.0,1
Jhin,Seraphine,BOTTOM,1.0,1
Hwei,Karma,BOTTOM,1.0,1
Hwei,Zilean,BOTTOM,1.0,1
Jhin,Ivern,BOTTOM,1.0,1
Jhin,Milio,BOTTOM,1.0,3
