ADC,Suporte,Lane,Taxa_Vitoria,Partidas_Jogadas
Anivia,Alistar,BOTTOM,0.0,1
Anivia,Janna,BOTTOM,1.0,1
Anivia,Karma,BOTTOM,1.0,1
Aphelios,Alistar,BOTTOM,1.0,1
Aphelios,Janna,BOTTOM,1.0,1
Aphelios,Senna,BOTTOM,0.0,1
Aphelios,Velkoz,BOTTOM,0.0,1
Ashe,Braum,BOTTOM,1.0,2
Ashe,Ivern,BOTTOM,1.0,1
Ashe,Karma,BOTTOM,0.0,1
Ashe,Lulu,BOTTOM,0.5,2
Ashe,Lux,BOTTOM,1.0,1
Ashe,Milio,BOTTOM,1.0,2
Ashe,Morgana,BOTTOM,1.0,2
Ashe,Nautilus,BOTTOM,0.0,1
Ashe,Poppy,BOTTOM,0.0,1
Ashe,Pyke,BOTTOM,0.0,1
Ashe,Rakan,BOTTOM,1.0,1
Ashe,Rell,BOTTOM,0.0,2
Ashe,Senna,BOTTOM,1.0,1
Ashe,Sona,BOTTOM,1.0,1
Ashe,Soraka,BOTTOM,1.0,1
Ashe,TahmKench,BOTTOM,0.0,1
Ashe,Thresh,BOTTOM,0.3333333333333333,3
Caitlyn,Blitzcrank,BOTTOM,1.0,1
Caitlyn,Camille,BOTTOM,1.0,1
Caitlyn,Janna,BOTTOM,1.0,1
Caitlyn,Karma,BOTTOM,1.0,1
Caitlyn,Lulu,BOTTOM,0.0,1
Caitlyn,Lux,BOTTOM,0.6666666666666666,3
Caitlyn,Milio,BOTTOM,0.5,2
Caitlyn,Morgana,BOTTOM,0.0,1
Caitlyn,Nami,BOTTOM,0.0,1
Caitlyn,Nautilus,BOTTOM,0.6666666666666666,3
Caitlyn,Poppy,BOTTOM,1.0,1
Caitlyn,Pyke,BOTTOM,0.0,1
Caitlyn,Rell,BOTTOM,0.5,2
Caitlyn,Seraphine,BOTTOM,1.0,1
Caitlyn,Sona,BOTTOM,0.0,2
Caitlyn,Thresh,BOTTOM,0.0,2
Caitlyn,Velkoz,BOTTOM,1.0,1
Caitlyn,Xerath,BOTTOM,1.0,1
Caitlyn,Zoe,BOTTOM,0.5,2
Caitlyn,Zyra,BOTTOM,1.0,2
Cassiopeia,Nautilus,BOTTOM,0.0,1
Cassiopeia,Sona,BOTTOM,0.0,1
Cassiopeia,Soraka,BOTTOM,1.0,2
Corki,Blitzcrank,BOTTOM,0.0,1
Corki,Braum,BOTTOM,1.0,1
Corki,Karma,BOTTOM,1.0,2
Corki,Nautilus,BOTTOM,1.0,1
Corki,Pyke,BOTTOM,1.0,1
Corki,Renata,BOTTOM,0.0,1
Corki,Senna,BOTTOM,1.0,1
Corki,Soraka,BOTTOM,1.0,1
Corki,Thresh,BOTTOM,1.0,1
Draven,Alistar,BOTTOM,1.0,1
Draven,Braum,BOTTOM,0.0,2
Draven,Karma,BOTTOM,1.0,1
Draven,Lulu,BOTTOM,0.0,1
Draven,Milio,BOTTOM,1.0,1
Draven,Nautilus,BOTTOM,1.0,1
Draven,Rell,BOTTOM,1.0,1
Draven,Swain,BOTTOM,1.0,1
Ezreal,Braum,BOTTOM,0.0,1
Ezreal,Janna,BOTTOM,0.0,1
Ezreal,Karma,BOTTOM,1.0,1
Ezreal,Lulu,BOTTOM,0.0,2
Ezreal,Lux,BOTTOM,0.0,2
Ezreal,Milio,BOTTOM,0.0,1
Ezreal,Morgana,BOTTOM,0.0,1
Ezreal,Nami,BOTTOM,0.3333333333333333,3
Ezreal,Nautilus,BOTTOM,1.0,2
Ezreal,Pyke,BOTTOM,0.0,3
Ezreal,Rell,BOTTOM,0.5,2
Ezreal,Renata,BOTTOM,0.0,1
Ezreal,Senna,BOTTOM,1.0,1
Ezreal,Seraphine,BOTTOM,0.5,2
Ezreal,Sona,BOTTOM,0.0,2
Ezreal,Soraka,BOTTOM,0.25,4
Ezreal,Thresh,BOTTOM,0.0,4
Ezreal,Velkoz,BOTTOM,0.0,1
Ezreal,Yuumi,BOTTOM,0.0,1
Ezreal,Zilean,BOTTOM,1.0,1
Ezreal,Zyra,BOTTOM,0.0,1
Hwei,Alistar,BOTTOM,0.0,1
Hwei,Karma,BOTTOM,1.0,1
Hwei,Zilean,BOTTOM,1.0,1
Jhin,Alistar,BOTTOM,0.0,1
Jhin,Bard,BOTTOM,0.0,1
Jhin,Blitzcrank,BOTTOM,0.0,1
Jhin,Ivern,BOTTOM,1.0,1
Jhin,Karma,BOTTOM,0.16666666666666666,6
Jhin,Leona,BOTTOM,0.5,2
Jhin,Lulu,BOTTOM,0.0,2
Jhin,Milio,BOTTOM,1.0,3
Jhin,Nautilus,BOTTOM,0.3333333333333333,3
Jhin,Poppy,BOTTOM,1.0,2
Jhin,Rakan,BOTTOM,1.0,1
Jhin,Senna,BOTTOM,0.0,1
Jhin,Seraphine,BOTTOM,1.0,1
Jhin,Sona,BOTTOM,1.0,1
Jhin,Soraka,BOTTOM,1.0,1
Jhin,Swain,BOTTOM,0.0,1
Jhin,TahmKench,BOTTOM,1.0,1
Jhin,Taric,BOTTOM,0.0,1
Jhin,Thresh,BOTTOM,0.5,2
Jhin,Zoe,BOTTOM,0.0,1
Jinx,Alistar,BOTTOM,0.6666666666666666,3
Jinx,Bard,BOTTOM,1.0,1
Jinx,Blitzcrank,BOTTOM,0.0,1
Jinx,Braum,BOTTOM,1.0,1
Jinx,Galio,BOTTOM,0.0,1
Jinx,Janna,BOTTOM,0.75,4
Jinx,Karma,BOTTOM,0.5,2
Jinx,Leona,BOTTOM,0.0,1
Jinx,Lulu,BOTTOM,1.0,3
Jinx,Lux,BOTTOM,0.0,1
Jinx,Milio,BOTTOM,0.5,4
Jinx,Nami,BOTTOM,0.0,2
Jinx,Nautilus,BOTTOM,0.5,2
Jinx,Neeko,BOTTOM,0.0,1
Jinx,Pyke,BOTTOM,1.0,1
Jinx,Rell,BOTTOM,0.5,2
Jinx,Seraphine,BOTTOM,0.6666666666666666,3
Jinx,Sona,BOTTOM,1.0,1
Jinx,Soraka,BOTTOM,0.6666666666666666,6
Jinx,Swain,BOTTOM,0.5,2
Jinx,TahmKench,BOTTOM,0.0,2
Jinx,Thresh,BOTTOM,0.8333333333333334,6
Jinx,Velkoz,BOTTOM,1.0,1
Jinx,Yuumi,BOTTOM,0.0,1
Jinx,Zac,BOTTOM,0.0,1
Jinx,Zyra,BOTTOM,1.0,1
Kaisa,Ashe,BOTTOM,0.5,2
Kaisa,Bard,BOTTOM,0.0,1
Kaisa,Braum,BOTTOM,0.5,2
Kaisa,Hwei,BOTTOM,0.0,1
Kaisa,Karma,BOTTOM,0.8,5
Kaisa,Lulu,BOTTOM,0.25,4
Kaisa,Lux,BOTTOM,0.0,1
Kaisa,Maokai,BOTTOM,0.0,1
Kaisa,Milio,BOTTOM,1.0,1
Kaisa,Nami,BOTTOM,1.0,3
Kaisa,Nautilus,BOTTOM,0.5,4
Kaisa,Poppy,BOTTOM,0.0,1
Kaisa,Pyke,BOTTOM,0.6666666666666666,3
Kaisa,Rakan,BOTTOM,0.3333333333333333,3
Kaisa,Rell,BOTTOM,1.0,3
Kaisa,Seraphine,BOTTOM,0.5,2
Kaisa,Shaco,BOTTOM,1.0,1
Kaisa,TahmKench,BOTTOM,0.5,2
Kaisa,Thresh,BOTTOM,0.3333333333333333,3
Kaisa,Xerath,BOTTOM,1.0,1
Kaisa,Zyra,BOTTOM,0.0,1
Kalista,Leona,BOTTOM,0.0,2
Kalista,Lulu,BOTTOM,1.0,2
Kalista,Nautilus,BOTTOM,1.0,1
Kalista,Rakan,BOTTOM,1.0,1
Kalista,Rell,BOTTOM,0.0,1
Kalista,Renata,BOTTOM,1.0,1
Kalista,Yuumi,BOTTOM,0.0,1
KogMaw,Alistar,BOTTOM,1.0,1
KogMaw,Lulu,BOTTOM,0.0,1
KogMaw,Milio,BOTTOM,0.0,1
KogMaw,Nami,BOTTOM,1.0,2
KogMaw,Rakan,BOTTOM,1.0,1
KogMaw,Soraka,BOTTOM,1.0,1
KogMaw,Thresh,BOTTOM,0.3333333333333333,3
KogMaw,Yuumi,BOTTOM,1.0,1
Lucian,Alistar,BOTTOM,0.0,1
Lucian,Braum,BOTTOM,0.6666666666666666,3
Lucian,Hwei,BOTTOM,0.0,1
