ADC_Maestria,Suporte_Maestria,ADC,Suporte,Frequencia
Alta,Alta,Anivia,Alistar,2232
Alta,Alta,Anivia,Janna,2904
Alta,Alta,Anivia,Karma,7296
Alta,Alta,Aphelios,Alistar,4836
Alta,Alta,Aphelios,Janna,6292
Alta,Alta,Aphelios,Senna,8372
Alta,Alta,Aphelios,Velkoz,4368
Alta,Alta,Ashe,Braum,56966
Alta,Alta,Ashe,Ivern,9703
Alta,Alta,Ashe,Karma,95152
Alta,Alta,Ashe,Lulu,299854
Alta,Alta,Ashe,Lux,52584
Alta,Alta,Ashe,Milio,160256
Alta,Alta,Ashe,Morgana,16902
Alta,Alta,Ashe,Nautilus,88266
Alta,Alta,Ashe,Poppy,15650
Alta,Alta,Ashe,Pyke,49454
Alta,Alta,Ashe,Rakan,39438
Alta,Alta,Ashe,Rell,63226
Alta,Alta,Ashe,Senna,50393
Alta,Alta,Ashe,Sona,27857
Alta,Alta,Ashe,Soraka,74494
Alta,Alta,Ashe,TahmKench,30048
Alta,Alta,Ashe,Thresh,366210
Alta,Alta,Caitlyn,Blitzcrank,8996
Alta,Alta,Caitlyn,Camille,12456
Alta,Alta,Caitlyn,Janna,41866
Alta,Alta,Caitlyn,Karma,105184
Alta,Alta,Caitlyn,Lulu,165734
Alta,Alta,Caitlyn,Lux,174384
Alta,Alta,Caitlyn,Milio,177152
Alta,Alta,Caitlyn,Morgana,9342
Alta,Alta,Caitlyn,Nami,131480
Alta,Alta,Caitlyn,Nautilus,292716
Alta,Alta,Caitlyn,Poppy,17300
Alta,Alta,Caitlyn,Pyke,54668
Alta,Alta,Caitlyn,Rell,69892
Alta,Alta,Caitlyn,Seraphine,41866
Alta,Alta,Caitlyn,Sona,61588
Alta,Alta,Caitlyn,Thresh,269880
Alta,Alta,Caitlyn,Velkoz,29064
Alta,Alta,Caitlyn,Xerath,17992
Alta,Alta,Caitlyn,Zoe,29064
Alta,Alta,Caitlyn,Zyra,130096
Alta,Alta,Corki,Blitzcrank,1794
Alta,Alta,Corki,Braum,6279
Alta,Alta,Corki,Karma,41952
Alta,Alta,Corki,Nautilus,19458
Alta,Alta,Corki,Pyke,10902
Alta,Alta,Corki,Renata,828
Alta,Alta,Corki,Senna,11109
Alta,Alta,Corki,Soraka,16422
Alta,Alta,Corki,Thresh,26910
Alta,Alta,Draven,Alistar,15903
Alta,Alta,Draven,Braum,31122
Alta,Alta,Draven,Karma,51984
Alta,Alta,Draven,Lulu,81909
Alta,Alta,Draven,Milio,43776
Alta,Alta,Draven,Nautilus,48222
Alta,Alta,Draven,Rell,17271
Alta,Alta,Draven,Swain,6669
Alta,Alta,Ezreal,Braum,36946
Alta,Alta,Ezreal,Janna,49126
Alta,Alta,Ezreal,Karma,123424
Alta,Alta,Ezreal,Lulu,388948
Alta,Alta,Ezreal,Lux,136416
Alta,Alta,Ezreal,Milio,103936
Alta,Alta,Ezreal,Morgana,10962
Alta,Alta,Ezreal,Nami,462840
Alta,Alta,Ezreal,Nautilus,228984
Alta,Alta,Ezreal,Pyke,192444
Alta,Alta,Ezreal,Rell,82012
Alta,Alta,Ezreal,Renata,4872
Alta,Alta,Ezreal,Senna,65366
Alta,Alta,Ezreal,Seraphine,98252
Alta,Alta,Ezreal,Sona,72268
Alta,Alta,Ezreal,Soraka,386512
Alta,Alta,Ezreal,Thresh,633360
Alta,Alta,Ezreal,Velkoz,34104
Alta,Alta,Ezreal,Yuumi,38164
Alta,Alta,Ezreal,Zilean,14616
Alta,Alta,Ezreal,Zyra,76328
Alta,Alta,Hwei,Alistar,3813
Alta,Alta,Hwei,Karma,12464
Alta,Alta,Hwei,Zilean,1476
Alta,Alta,Jhin,Alistar,39990
Alta,Alta,Jhin,Bard,22360
Alta,Alta,Jhin,Blitzcrank,11180
Alta,Alta,Jhin,Ivern,13330
Alta,Alta,Jhin,Karma,784320
Alta,Alta,Jhin,Leona,86860
Alta,Alta,Jhin,Lulu,411940
Alta,Alta,Jhin,Milio,330240
Alta,Alta,Jhin,Nautilus,363780
Alta,Alta,Jhin,Poppy,43000
Alta,Alta,Jhin,Rakan,54180
Alta,Alta,Jhin,Senna,69230
Alta,Alta,Jhin,Seraphine,52030
Alta,Alta,Jhin,Sona,38270
Alta,Alta,Jhin,Soraka,102340
Alta,Alta,Jhin,Swain,16770
Alta,Alta,Jhin,TahmKench,41280
Alta,Alta,Jhin,Taric,18060
Alta,Alta,Jhin,Thresh,335400
Alta,Alta,Jhin,Zoe,18060
Alta,Alta,Jinx,Alistar,157077
Alta,Alta,Jinx,Bard,29276
Alta,Alta,Jinx,Blitzcrank,14638
Alta,Alta,Jinx,Braum,51233
Alta,Alta,Jinx,Galio,2815
Alta,Alta,Jinx,Janna,272492
Alta,Alta,Jinx,Karma,342304
Alta,Alta,Jinx,Leona,56863
Alta,Alta,Jinx,Lulu,809031
Alta,Alta,Jinx,Lux,94584
Alta,Alta,Jinx,Milio,576512
Alta,Alta,Jinx,Nami,427880
Alta,Alta,Jinx,Nautilus,317532
Alta,Alta,Jinx,Neeko,15201
Alta,Alta,Jinx,Pyke,88954
Alta,Alta,Jinx,Rell,113726
Alta,Alta,Jinx,Seraphine,204369
Alta,Alta,Jinx,Sona,50107
Alta,Alta,Jinx,Soraka,803964
Alta,Alta,Jinx,Swain,43914
Alta,Alta,Jinx,TahmKench,108096
Alta,Alta,Jinx,Thresh,1317420
Alta,Alta,Jinx,Velkoz,47292
Alta,Alta,Jinx,Yuumi,52922
Alta,Alta,Jinx,Zac,2815
Alta,Alta,Jinx,Zyra,105844
