player_champion,player_lane,grupo_maestria,binary_win
Aatrox,BOTTOM,Alta,0.0
Aatrox,JUNGLE,Alta,0.6666666666666666
Aatrox,JUNGLE,Baixa,0.4375
Aatrox,MIDDLE,Alta,0.5555555555555556
Aatrox,MIDDLE,Baixa,0.5
Aatrox,NONE,Alta,0.5303030303030303
Aatrox,NONE,Baixa,0.48
Aatrox,TOP,Alta,0.512280701754386
Aatrox,TOP,Baixa,0.41379310344827586
Ahri,BOTTOM,Alta,0.0
Ahri,BOTTOM,Baixa,0.4
Ahri,JUNGLE,Alta,0.0
Ahri,JUNGLE,Baixa,0.0
Ahri,MIDDLE,Alta,0.5675675675675675
Ahri,MIDDLE,Baixa,0.4612676056338028
Ahri,NONE,Alta,0.6065573770491803
Ahri,NONE,Baixa,0.3793103448275862
Ahri,TOP,Alta,0.5263157894736842
Ahri,TOP,Baixa,0.625
Akali,JUNGLE,Alta,0.375
Akali,JUNGLE,Baixa,0.5
Akali,MIDDLE,Alta,0.5757575757575758
Akali,MIDDLE,Baixa,0.45714285714285713
Akali,NONE,Alta,0.5675675675675675
Akali,NONE,Baixa,0.42857142857142855
Akali,TOP,Alta,0.45454545454545453
Akali,TOP,Baixa,0.42857142857142855
Akshan,BOTTOM,Alta,0.5
Akshan,BOTTOM,Baixa,1.0
Akshan,JUNGLE,Alta,1.0
Akshan,MIDDLE,Alta,0.4444444444444444
Akshan,MIDDLE,Baixa,0.4166666666666667
Akshan,NONE,Alta,0.5454545454545454
Akshan,NONE,Baixa,0.6666666666666666
Akshan,TOP,Alta,0.875
Akshan,TOP,Baixa,0.8
Alistar,BOTTOM,Alta,0.5869565217391305
Alistar,BOTTOM,Baixa,0.4423076923076923
Alistar,JUNGLE,Alta,1.0
Alistar,MIDDLE,Alta,0.6666666666666666
Alistar,MIDDLE,Baixa,0.5
Alistar,NONE,Alta,0.5333333333333333
Alistar,NONE,Baixa,0.53125
Alistar,TOP,Baixa,0.0
Ambessa,JUNGLE,Alta,0.6
Ambessa,JUNGLE,Baixa,0.7058823529411765
Ambessa,MIDDLE,Alta,0.3
Ambessa,MIDDLE,Baixa,0.75
Ambessa,NONE,Alta,0.8181818181818182
Ambessa,NONE,Baixa,0.42857142857142855
Ambessa,TOP,Alta,0.4838709677419355
Ambessa,TOP,Baixa,0.5135135135135135
Amumu,BOTTOM,Alta,0.0
Amumu,BOTTOM,Baixa,0.2
Amumu,JUNGLE,Alta,0.4880952380952381
Amumu,JUNGLE,Baixa,0.41
Amumu,NONE,Alta,0.7142857142857143
Amumu,NONE,Baixa,0.45454545454545453
Amumu,TOP,Baixa,1.0
Anivia,BOTTOM,Alta,0.48
Anivia,JUNGLE,Alta,1.0
Anivia,MIDDLE,Alta,0.5531914893617021
Anivia,MIDDLE,Baixa,0.44
Anivia,NONE,Alta,0.631578947368421
Anivia,NONE,Baixa,0.45454545454545453
Anivia,TOP,Alta,0.6923076923076923
Annie,BOTTOM,Alta,0.6
Annie,BOTTOM,Baixa,0.5555555555555556
Annie,JUNGLE,Alta,0.2857142857142857
Annie,JUNGLE,Baixa,1.0
Annie,MIDDLE,Alta,0.6086956521739131
Annie,MIDDLE,Baixa,0.375
Annie,NONE,Alta,0.3125
Annie,NONE,Baixa,0.5
Annie,TOP,Alta,0.6
Annie,TOP,Baixa,0.75
Aphelios,BOTTOM,Alta,0.5
Aphelios,BOTTOM,Baixa,0.5180722891566265
Aphelios,MIDDLE,Alta,0.42857142857142855
Aphelios,MIDDLE,Baixa,0.5
Aphelios,NONE,Alta,0.45454545454545453
Aphelios,NONE,Baixa,0.38461538461538464
Aphelios,TOP,Alta,0.5
Aphelios,TOP,Baixa,0.0
Ashe,BOTTOM,Alta,0.5278688524590164
Ashe,BOTTOM,Baixa,0.4723926380368098
Ashe,JUNGLE,Alta,0.8333333333333334
Ashe,JUNGLE,Baixa,0.5
Ashe,MIDDLE,Alta,0.36
Ashe,MIDDLE,Baixa,0.625
Ashe,NONE,Alta,0.5633802816901409
Ashe,NONE,Baixa,0.4177215189873418
Ashe,TOP,Alta,0.4444444444444444
Ashe,TOP,Baixa,0.2857142857142857
AurelionSol,BOTTOM,Alta,0.5714285714285714
