,Counter 1,Counter 2,Counter 3
Aatrox,Zyra,Sylas,Taliyah
Ahri,Zyra,Lillia,Leona
Akali,Zyra,Nidalee,Neeko
Akshan,Mordekaiser,Poppy,Pyke
Alistar,Zoe,MissFortune,Milio
Ambessa,Mordekaiser,Ornn,Pyke
Amumu,Thresh,Naafiri,Morgana
Anivia,Naafiri,Morgana,Zoe
Annie,RekSai,Rammus,Rakan
Aphelios,Nocturne,Nilah,Nidalee
Ashe,Lucian,Lissandra,Seraphine
AurelionSol,Taric,Nami,Naafiri
Aurora,Morgana,Zoe,Taliyah
Azir,Nilah,Nidalee,Neeko
Bard,Nocturne,Nilah,Neeko
Belveth,Nautilus,TwistedFate,Nami
Blitzcrank,Nunu,Nocturne,Nautilus
Brand,Orianna,Olaf,Nunu
Braum,Taric,MissFortune,Milio
Briar,Aatrox,Qiyana,Rakan
Caitlyn,Lulu,Lucian,Shaco
Camille,Olaf,Nunu,Nautilus
Cassiopeia,Mordekaiser,Quinn,Rakan
Chogath,Quinn,Qiyana,Pyke
Corki,MasterYi,Syndra,Taliyah
Darius,Urgot,Nami,Varus
Diana,MissFortune,Milio,MasterYi
DrMundo,Poppy,Qiyana,Rammus
Draven,MasterYi,Malzahar,Vex
Ekko,Pantheon,Orianna,Viego
Elise,Taric,MonkeyKing,Maokai
Evelynn,Rell,RekSai,Rammus
Ezreal,Velkoz,Malzahar,Lux
FiddleSticks,Orianna,Vayne,Veigar
Fiora,Viktor,Pantheon,Ornn
Fizz,Ornn,Viego,MonkeyKing
Galio,Pantheon,Poppy,RekSai
Gangplank,Urgot,Varus,MonkeyKing
Garen,Quinn,Volibear,Olaf
Gnar,Varus,Veigar,Urgot
Gragas,Lux,Lulu,Lucian
Graves,Sylas,Malzahar,Syndra
Gwen,Xayah,Xerath,Maokai
Hecarim,Tristana,TwistedFate,Nasus
Heimerdinger,Aatrox,Renata,Renekton
Hwei,Swain,Lux,Lulu
Illaoi,Warwick,Rell,Renata
Irelia,Velkoz,Nasus,Lissandra
Ivern,Nasus,Thresh,Tristana
Janna,Talon,Thresh,Lissandra
JarvanIV,Vayne,Velkoz,Vex
Jax,Maokai,Talon,Lillia
Jayce,Tristana,Tryndamere,Lillia
Jhin,Talon,Leona,Leblanc
Jinx,Rell,Kayn,Renata
KSante,Viego,Malphite,Viktor
Kaisa,Twitch,Kindred,Khazix
Kalista,Vex,Vi,LeeSin
Karma,Kindred,Khazix,Kayn
Karthus,Syndra,Sylas,Leona
Kassadin,Trundle,LeeSin,Leblanc
Katarina,LeeSin,Leblanc,KogMaw
Kayle,Xayah,Warwick,Malphite
Kayn,KogMaw,Kindred,Khazix
Kennen,Renekton,Rengar,Riven
Khazix,Viktor,Xayah,Veigar
Kindred,KogMaw,TahmKench,Swain
