player_champion,Posição_Counter,Counter,Campeão,Taxa_Vitoria_Media
Aatrox,Counter 1,Zyra,Zyra,0.2397640965601286
Ahri,Counter 1,Zyra,Zyra,0.2397640965601286
Akali,Counter 1,Zyra,Zyra,0.2397640965601286
Akshan,Counter 1,Mordekaiser,Mordekaiser,0.16848200818789053
Alistar,Counter 1,Zoe,Zoe,0.22750214939564056
Ambessa,Counter 1,Mordekaiser,Mordekaiser,0.16848200818789053
Amumu,Counter 1,Thresh,Thresh,0.26631874059403327
Anivia,Counter 1,Naafiri,Naafiri,0.09911242603550297
Aphelios,Counter 1,Nocturne,Nocturne,0.20689438766361842
Ashe,Counter 1,Lucian,Lucian,0.28122446296336645
Aurelionsol,Counter 1,Taric,Taric,0.1660749506903353
Aurora,Counter 1,Morgana,Morgana,0.17632324940017247
Azir,Counter 1,Nilah,Nilah,0.1650887573964497
Bard,Counter 1,Nocturne,Nocturne,0.20689438766361842
Belveth,Counter 1,Nautilus,Nautilus,0.29920831493389183
Blitzcrank,Counter 1,Nunu,Nunu,0.14861932938856012
Brand,Counter 1,Orianna,Orianna,0.18312286004593697
Braum,Counter 1,Taric,Taric,0.1660749506903353
Briar,Counter 1,Aatrox,Aatrox,0.2962665551044525
Caitlyn,Counter 1,Lulu,Lulu,0.3254908291455484
Camille,Counter 1,Olaf,Olaf,0.1569119286510591
Cassiopeia,Counter 1,Mordekaiser,Mordekaiser,0.16848200818789053
Chogath,Counter 1,Quinn,Quinn,0.14929557621865314
Darius,Counter 1,Urgot,Urgot,0.10601577909270216
Drmundo,Counter 1,Poppy,Poppy,0.2337487413026232
Ekko,Counter 1,Pantheon,Pantheon,0.21095515320081076
Elise,Counter 1,Taric,Taric,0.1660749506903353
Evelynn,Counter 1,Rell,Rell,0.20301109147262997
Ezreal,Counter 1,Velkoz,Velkoz,0.2047102470179393
Fiddlesticks,Counter 1,Orianna,Orianna,0.18312286004593697
Fiora,Counter 1,Viktor,Viktor,0.23580742071866329
Fizz,Counter 1,Ornn,Ornn,0.1767094017094017
Galio,Counter 1,Pantheon,Pantheon,0.21095515320081076
Gangplank,Counter 1,Urgot,Urgot,0.10601577909270216
Garen,Counter 1,Quinn,Quinn,0.14929557621865314
Gnar,Counter 1,Varus,Varus,0.2504639433737936
Gragas,Counter 1,Lux,Lux,0.3162621745957339
Graves,Counter 1,Sylas,Sylas,0.19723873828514127
Gwen,Counter 1,Xayah,Xayah,0.24257458228046463
Hecarim,Counter 1,Tristana,Tristana,0.23184230299614916
Heimerdinger,Counter 1,Aatrox,Aatrox,0.2962665551044525
Hwei,Counter 1,Swain,Swain,0.25345823106004095
Illaoi,Counter 1,Warwick,Warwick,0.13737672583826432
Irelia,Counter 1,Velkoz,Velkoz,0.2047102470179393
Ivern,Counter 1,Nasus,Nasus,0.1720578566732413
Janna,Counter 1,Talon,Talon,0.22311449234526154
Jarvaniv,Counter 1,Vayne,Vayne,0.22375342441910484
Jax,Counter 1,Maokai,Maokai,0.18527790421281545
Jayce,Counter 1,Tristana,Tristana,0.23184230299614916
Jhin,Counter 1,Talon,Talon,0.22311449234526154
Jinx,Counter 1,Rell,Rell,0.20301109147262997
Ksante,Counter 1,Viego,Viego,0.2513532016577613
Kaisa,Counter 1,Twitch,Twitch,0.21795896411281018
Kalista,Counter 1,Vex,Vex,0.1686249647788109
Karma,Counter 1,Kindred,Kindred,0.17363918133148898
Karthus,Counter 1,Syndra,Syndra,0.19651737972743893
Kassadin,Counter 1,Trundle,Trundle,0.1932709194563778
Kayle,Counter 1,Xayah,Xayah,0.24257458228046463
Kennen,Counter 1,Renekton,Renekton,0.2223549954319185
Khazix,Counter 1,Viktor,Viktor,0.23580742071866329
Kled,Counter 1,Aatrox,Aatrox,0.2962665551044525
Kogmaw,Counter 1,Twitch,Twitch,0.21795896411281018
Leblanc,Counter 1,Kayle,Kayle,0.1110286182129433
Leesin,Counter 1,Udyr,Udyr,0.18166366835005893
Leona,Counter 1,Malphite,Malphite,0.21172609441840212
Lillia,Counter 1,Udyr,Udyr,0.18166366835005893
Lissandra,Counter 1,Kled,Kled,0.11045364891518739
Lucian,Counter 1,Shyvana,Shyvana,0.14516765285996058
Lulu,Counter 1,Senna,Senna,0.31202607096272256
Lux,Counter 1,Sejuani,Sejuani,0.17290081713158634
Malphite,Counter 1,Kled,Kled,0.11045364891518739
Malzahar,Counter 1,Xerath,Xerath,0.2052069725146648
Maokai,Counter 1,Vladimir,Vladimir,0.29283689522901535
