player_champion,player_lane,kills_media,deaths_media,assists_media,duracao_media,taxa_vitoria,cluster
Senna,TOP,4.5,5.7,17.8,1576.1,0.8,0
Aurora,BOTTOM,1.0,8.0,11.0,2162.0,1.0,0
Maokai,MIDDLE,4.285714285714286,5.857142857142857,18.714285714285715,1748.428571428571,1.0,0
Rell,MIDDLE,2.136363636363636,7.363636363636363,19.59090909090909,1499.5,0.5,0
Blitzcrank,TOP,2.4,7.6,13.4,1989.0,0.6,0
Zilean,JUNGLE,0.0,7.0,8.0,1252.0,0.0,1
Draven,TOP,8.533333333333333,7.066666666666666,5.933333333333334,1616.6,0.4,1
Leblanc,BOTTOM,8.6,7.0,7.8,1718.6,0.4,1
AurelionSol,MIDDLE,7.484375,5.8046875,8.3984375,1640.015625,0.5,1
Varus,TOP,7.37037037037037,8.148148148148149,6.407407407407407,1427.4074074074074,0.5555555555555556,1
Viktor,JUNGLE,11.2,7.4,7.6,1901.8,0.8,2
Akshan,BOTTOM,9.333333333333334,6.0,7.333333333333333,1364.0,0.6666666666666666,2
Trundle,MIDDLE,7.555555555555555,6.777777777777778,6.555555555555555,1913.4444444444443,0.7777777777777778,2
Garen,JUNGLE,8.38888888888889,5.333333333333333,4.833333333333333,1804.4444444444443,0.7222222222222222,2
DrMundo,BOTTOM,6.8,4.6,8.8,1704.8,0.8,2
Qiyana,NONE,3.25,1.9166666666666667,2.1666666666666665,818.4166666666666,0.5833333333333334,3
KSante,NONE,1.3636363636363635,2.909090909090909,1.393939393939394,867.4242424242424,0.3636363636363636,3
Kaisa,NONE,3.0927835051546397,2.288659793814433,2.0721649484536084,740.8298969072165,0.5257731958762887,3
Tryndamere,BOTTOM,0.0,2.0,3.0,1233.0,0.0,3
Xerath,NONE,2.261904761904762,2.3095238095238093,3.238095238095238,770.1904761904761,0.5,3
