player_champion,player_lane,kills_media,deaths_media,assists_media,duracao_media,taxa_vitoria,cluster
Aatrox,BOTTOM,19.0,16.0,10.0,2438.0,0.0,1
Aatrox,JUNGLE,7.5,6.368421052631579,5.868421052631579,1497.1184210526317,0.618421052631579,1
Aatrox,MIDDLE,6.733333333333333,6.166666666666667,5.5,1472.6666666666667,0.5333333333333333,1
Aatrox,NONE,2.5494505494505493,2.3846153846153846,1.4175824175824177,798.2087912087912,0.5164835164835165,3
Aatrox,TOP,6.56857855361596,6.241895261845387,5.13715710723192,1555.6458852867831,0.4837905236907731,1
Ahri,BOTTOM,7.0,6.222222222222222,7.888888888888889,1577.4444444444443,0.2222222222222222,1
Ahri,JUNGLE,7.0,7.0,5.75,1499.0,0.0,1
Ahri,MIDDLE,6.770750988142293,5.361660079051384,7.867588932806324,1605.3754940711462,0.5079051383399209,1
Ahri,NONE,2.19327731092437,1.9579831932773109,2.327731092436975,748.655462184874,0.4957983193277311,3
Ahri,TOP,7.714285714285714,5.8,8.628571428571428,1699.7142857142858,0.5714285714285714,1
Akali,JUNGLE,9.38888888888889,6.833333333333333,4.0,1546.8333333333333,0.3888888888888889,1
Akali,MIDDLE,9.089108910891088,5.97029702970297,5.153465346534653,1570.1633663366338,0.5346534653465347,1
Akali,NONE,2.810344827586207,1.8103448275862069,1.1551724137931034,771.6034482758621,0.5172413793103449,3
Akali,TOP,8.402298850574713,6.183908045977011,4.609195402298851,1606.942528735632,0.4482758620689655,1
Akshan,BOTTOM,9.333333333333334,6.0,7.333333333333333,1364.0,0.6666666666666666,2
Akshan,JUNGLE,10.0,4.0,7.0,1815.0,1.0,2
Akshan,MIDDLE,8.666666666666666,6.6,5.766666666666667,1553.3,0.43333333333333335,1
Akshan,NONE,3.357142857142857,2.142857142857143,1.9285714285714286,626.2142857142857,0.5714285714285714,3
Akshan,TOP,11.23076923076923,4.923076923076923,6.0,1510.0,0.8461538461538461,2
Alistar,BOTTOM,1.7142857142857142,6.530612244897959,16.168367346938776,1528.8367346938776,0.5102040816326531,0
Alistar,JUNGLE,1.5,6.0,26.0,1786.0,1.0,0
Alistar,MIDDLE,1.4285714285714286,6.785714285714286,14.928571428571429,1724.642857142857,0.5714285714285714,0
Alistar,NONE,1.0425531914893618,2.382978723404255,4.297872340425532,731.8510638297872,0.5319148936170213,3
Alistar,TOP,0.5,8.5,9.0,1726.5,0.0,1
Ambessa,JUNGLE,8.185185185185185,4.814814814814815,7.7407407407407405,1706.2962962962963,0.6666666666666666,2
Ambessa,MIDDLE,6.5,6.357142857142857,6.0,1727.4285714285713,0.42857142857142855,1
Ambessa,NONE,1.78125,1.96875,0.96875,684.9375,0.5625,3
Ambessa,TOP,7.656565656565657,6.484848484848484,5.959595959595959,1618.8989898989898,0.494949494949495,1
Amumu,BOTTOM,4.0,9.166666666666666,14.0,1487.6666666666667,0.16666666666666666,1
Amumu,JUNGLE,5.630434782608695,6.717391304347826,11.527173913043478,1681.9021739130435,0.44565217391304346,1
Amumu,NONE,3.4,1.88,3.12,810.64,0.6,3
