player_champion,player_lane,partidas,taxa_vitoria_media,kills_media,deaths_media,assists_media,duracao_media
Briar,BOTTOM,2,0.0,13.5,9.5,11.0,2103.5
Briar,JUNGLE,82,0.47560975609756095,8.146341463414634,7.695121951219512,8.670731707317072,1670.1951219512196
Darius,BOTTOM,3,0.0,4.666666666666667,8.666666666666666,3.0,898.6666666666666
Darius,JUNGLE,61,0.47540983606557374,7.262295081967213,6.065573770491803,4.016393442622951,1678.7704918032787
Darius,MIDDLE,24,0.5833333333333334,8.083333333333334,6.166666666666667,4.25,1598.2916666666667
Darius,TOP,225,0.4622222222222222,6.706666666666667,6.706666666666667,4.3244444444444445,1566.0355555555554
FiddleSticks,BOTTOM,6,0.16666666666666666,3.8333333333333335,8.0,11.0,1582.5
FiddleSticks,JUNGLE,105,0.5428571428571428,5.980952380952381,5.885714285714286,10.019047619047619,1573.5238095238096
FiddleSticks,MIDDLE,1,0.0,5.0,13.0,7.0,1996.0
FiddleSticks,TOP,1,1.0,4.0,3.0,6.0,1317.0
Galio,BOTTOM,13,0.8461538461538461,1.9230769230769231,6.0,16.23076923076923,1701.3846153846155
Galio,JUNGLE,2,0.0,4.0,6.0,13.5,970.0
Galio,MIDDLE,75,0.52,5.253333333333333,6.213333333333333,10.84,1708.84
Galio,TOP,13,0.38461538461538464,5.3076923076923075,6.615384615384615,13.076923076923077,1720.8461538461538
Naafiri,BOTTOM,2,0.0,5.5,8.5,4.0,708.5
Naafiri,JUNGLE,3,0.3333333333333333,5.666666666666667,5.333333333333333,4.333333333333333,1484.3333333333333
Naafiri,MIDDLE,43,0.46511627906976744,8.44186046511628,7.27906976744186,5.023255813953488,1551.6511627906978
Naafiri,TOP,8,0.25,5.25,8.125,4.5,1543.625
Nunu,BOTTOM,2,0.0,6.5,14.5,16.0,2100.0
Nunu,JUNGLE,91,0.5054945054945055,5.571428571428571,6.846153846153846,13.274725274725276,1665.2087912087911
Nunu,MIDDLE,15,0.4,10.066666666666666,8.8,9.0,1772.1333333333334
Nunu,TOP,1,0.0,0.0,9.0,1.0,1275.0
Taric,BOTTOM,54,0.5555555555555556,1.8518518518518519,6.611111111111111,19.203703703703702,1549.7962962962963
Taric,JUNGLE,20,0.55,2.7,4.8,14.95,1492.5
Taric,MIDDLE,6,0.6666666666666666,3.0,8.0,22.0,1686.1666666666667
Taric,TOP,1,0.0,2.0,8.0,2.0,1217.0
Tryndamere,BOTTOM,1,0.0,0.0,2.0,3.0,1233.0
Tryndamere,JUNGLE,20,0.6,6.35,5.7,4.25,1503.05
Tryndamere,MIDDLE,10,0.9,7.9,5.8,4.4,1754.6
Tryndamere,TOP,79,0.4936708860759494,6.7974683544303796,6.443037974683544,4.594936708860759,1633.0379746835442
Vi,BOTTOM,2,0.5,6.0,6.5,12.5,1808.0
Vi,JUNGLE,226,0.5530973451327433,6.495575221238938,5.663716814159292,9.185840707964601,1561.4026548672566
Vi,MIDDLE,1,0.0,5.0,5.0,6.0,1721.0
Vi,TOP,2,0.0,5.0,9.5,5.0,821.5
XinZhao,BOTTOM,1,0.0,4.0,10.0,7.0,206.0
XinZhao,JUNGLE,175,0.5542857142857143,6.96,6.131428571428572,9.794285714285714,1537.1142857142856
XinZhao,MIDDLE,2,0.5,3.5,6.0,5.0,1379.5
XinZhao,TOP,5,0.4,5.2,7.6,8.4,1788.8
